Number of Records,Recipient RECORD NUMBER,Vendor USED RECORD NUMBER,X,Y
1,13,10,-79.267657,36.081448
1,14,4,-79.518872,36.091285
1,15,3,-79.433974,36.018797
1,16,3,-79.518872,36.091285
1,17,2,-79.43733,36.125949
1,18,1,-79.478685,36.064432
1,19,2,-79.492292,36.058227
1,20,5,-79.354403,36.122831
1,21,1,-79.416839,36.068365
1,22,1,-79.492401,36.072366
1,23,8,-79.460481,36.103331
1,24,4,-79.363154,36.074594
1,25,1,-79.363154,36.074594
1,26,7,-79.363154,36.074594
1,27,9,-79.510758,36.085496
1,28,8,-79.288223,36.011048
1,29,6,-79.288223,36.011048
1,30,7,-79.387394,36.070253
1,31,2,-79.505006,36.087818
1,32,6,-79.505006,36.087818
1,33,6,-79.390485,36.039681
1,34,7,-79.339484,36.137248
1,35,7,-79.387394,36.070253
1,36,8,-79.454051,36.092912
1,37,6,-79.44134,36.095863
1,38,5,-79.524217,36.077859
1,39,3,-79.524217,36.077859
1,40,2,-79.438955,36.180763
1,41,8,-79.438955,36.180763
1,42,9,-79.502882,36.088989
1,43,5,-79.502882,36.088989
1,44,5,-79.427529,36.139637
1,45,6,-79.418927,36.019277
1,46,2,-79.460232,36.075065
1,47,10,-79.400893,36.050924
1,48,6,-79.491466,36.105492
1,49,10,-79.491466,36.105492
1,50,7,-79.491466,36.105492
1,51,2,-79.261491,36.063601
1,52,5,-79.31246,36.010793
1,53,7,-79.450504,36.09429
1,54,10,-79.351234,36.029165
1,55,5,-79.351234,36.029165
1,56,8,-79.401562,36.117611
1,57,8,-79.380709,36.166689
1,58,5,-79.479684,36.10561
1,59,6,-79.479684,36.10561
1,60,4,-79.464575,36.127697
1,61,8,-79.412139,35.883287
1,62,2,-79.46112,36.089325
1,63,2,-79.46112,36.089325
1,64,10,-79.431499,36.102364
1,65,1,-79.464575,36.127697
1,66,3,-79.412139,35.883287
1,67,8,-79.47553,36.10252
1,68,8,-79.420108,36.064702
1,69,2,-79.454121,36.070234
1,70,9,-79.347366,36.098954
1,71,5,-79.262872,36.073835
1,72,2,-79.263401,36.084439
1,73,10,-79.474616,36.088332
1,74,5,-79.47553,36.10252
1,75,3,-79.488296,36.067552
1,76,4,-79.266123,36.068592
1,77,1,-79.476147,36.090936
1,78,3,-79.260689,36.13157
1,79,8,-79.455011,36.066152
1,80,3,-79.422112,36.063797
1,81,10,-79.46112,36.089325
1,82,1,-79.340758,36.03189
1,83,5,-79.263401,36.084439
1,84,6,-79.40155,36.049345
1,85,7,-79.475777,36.125354
1,86,6,-79.476147,36.090936
1,87,10,-79.533176,36.094521
1,88,7,-79.455466,36.099673
1,89,6,-79.525678,35.959166
1,90,6,-79.438326,36.179676
1,91,10,-79.474616,36.088332
1,92,3,-79.455466,36.099673
1,93,10,-79.36817,35.882244
1,94,1,-79.390331,36.021626
1,95,7,-79.533176,36.094521
1,96,1,-79.32858,36.019172
1,97,2,-79.393702,36.051313
1,98,1,-79.263401,36.084439
1,99,6,-79.380871,36.062377
1,100,5,-79.380871,36.062377
1,101,7,-79.40078,36.034344
1,102,6,-79.266656,36.082388
1,103,6,-79.473425,35.886517
1,104,8,-79.473425,35.886517
1,105,4,-79.473425,35.886517
1,106,6,-79.473425,35.886517
1,107,4,-79.440886,36.036926
1,108,10,-79.309636,36.080347
1,109,2,-79.495034,36.074449
1,110,2,-79.440918,36.03669
1,111,10,-79.533734,36.056184
1,112,1,-79.274282,36.086646
1,113,2,-79.47928,36.104213
1,114,8,-79.47756,36.053993
1,115,8,-79.47672,36.123593
1,116,8,-79.47756,36.053993
1,117,2,-79.274282,36.086646
1,118,10,-79.47756,36.053993
1,119,9,-79.475978,36.052397
1,120,10,-79.533563,36.10727
1,121,3,-79.533734,36.056184
1,122,7,-79.47928,36.104213
1,123,7,-79.523259,36.099368
1,124,1,-79.324007,36.082089
1,125,1,-79.523259,36.099368
1,126,6,-79.507947,36.079202
1,127,2,-79.507947,36.079202
1,128,2,-79.261294,36.10787
1,129,2,-79.481821,36.061751
1,130,5,-79.481821,36.061751
1,131,6,-79.478792,36.120179
1,132,7,-79.396601,36.121771
1,133,3,-79.396601,36.121771
1,134,2,-79.370332,35.870673
1,135,9,-79.441745,36.099296
1,136,3,-79.38907,36.051932
1,137,3,-79.402761,35.995879
1,138,3,-79.271231,35.96128
1,139,7,-79.530242,36.057615
1,140,3,-79.380057,36.064023
1,141,10,-79.496919,36.080175
1,142,9,-79.495156,36.077209
1,143,4,-79.428197,36.098242
1,144,2,-79.428197,36.098242
1,145,10,-79.428197,36.098242
1,146,6,-79.428197,36.098242
1,147,6,-79.450955,36.117651
1,148,4,-79.450955,36.117651
1,149,8,-79.500993,36.073551
1,150,9,-79.425352,36.082681
1,151,5,-79.506106,36.084438
1,152,10,-79.430334,36.0782
1,153,2,-79.361999,36.111303
1,154,4,-79.361999,36.111303
1,155,1,-79.494433,36.077471
1,156,10,-79.494433,36.077471
1,157,4,-79.477154,36.119917
1,158,8,-79.44054,36.145087
1,159,9,-79.465965,36.099609
1,160,6,-79.465965,36.099609
1,161,1,-79.509218,36.093271
1,162,1,-79.509218,36.093271
1,163,10,-79.434648,36.002283
1,164,8,-79.477682,36.104997
1,165,7,-79.42492,36.090624
1,166,5,-79.434648,36.002283
1,167,6,-79.265384,36.136762
1,168,10,-79.449749,36.068723
1,169,5,-79.261477,36.073111
1,170,2,-79.261477,36.073111
1,171,5,-79.403915,36.106854
1,172,9,-79.268202,36.105056
1,173,6,-79.398757,36.088956
1,174,2,-79.398757,36.088956
1,175,2,-79.391439,36.078622
1,176,3,-79.537451,36.084503
1,177,10,-79.283959,36.123904
1,178,9,-79.283959,36.123904
1,179,8,-79.537451,36.084503
1,180,9,-79.505884,36.10737
1,181,3,-79.291833,36.081987
1,182,7,-79.482811,36.06098
1,183,7,-79.425801,36.035322
1,184,4,-79.482811,36.06098
1,185,1,-79.425801,36.035322
1,186,6,-79.504975,36.097001
1,187,6,-79.329013,36.050171
1,188,9,-79.263683,36.085595
1,189,10,-79.404919,36.208695
1,190,3,-79.505908,36.077157
1,191,4,-79.299097,36.047147
1,192,7,-79.424582,36.036533
1,193,6,-79.438265,36.078274
1,194,3,-79.306399,36.06141
1,195,3,-79.404919,36.208695
1,196,10,-79.521649,35.917164
1,197,9,-79.299097,36.047147
1,198,6,-79.461613,35.978912
1,199,7,-79.271544,36.077985
1,200,6,-79.275685,36.107839
1,201,6,-79.471535,36.059818
1,202,3,-79.508564,36.062242
1,203,3,-79.457203,35.989308
1,204,10,-79.404919,36.208695
1,205,10,-79.329013,36.050171
1,206,3,-79.326681,36.051101
1,207,8,-79.263683,36.085595
1,208,7,-79.271544,36.077985
1,209,5,-79.385851,36.085916
1,210,4,-79.534195,36.080847
1,211,5,-79.309092,36.079823
1,212,3,-79.338043,36.168249
1,213,1,-79.306832,36.055303
1,214,6,-79.509218,36.093271
1,215,1,-79.513587,36.132597
1,216,3,-79.478467,36.064928
1,217,2,-79.467655,36.075905
1,218,6,-79.412029,36.026703
1,219,8,-79.412029,36.026703
1,220,2,-79.45001,36.219584
1,221,7,-79.513587,36.132597
1,222,5,-79.45001,36.219584
1,223,1,-79.350346,36.087399
1,224,7,-79.39447,36.061776
1,225,6,-79.39447,36.061776
1,226,8,-79.290531,36.085329
1,227,7,-79.290531,36.085329
1,228,1,-79.401964,36.073296
1,229,10,-79.450312,36.09441
1,230,10,-79.517703,36.083727
1,231,4,-79.517703,36.083727
1,232,9,-79.44546,35.981393
1,233,10,-79.363228,36.048617
1,234,7,-79.321384,36.129918
1,235,1,-79.281487,36.089228
1,236,10,-79.532133,35.85754
1,237,9,-79.327111,35.930364
1,238,7,-79.327111,35.930364
1,239,4,-79.363228,36.048617
1,240,2,-79.321384,36.129918
1,241,3,-79.406303,36.20444
1,242,2,-79.371997,36.065107
1,243,10,-79.489054,36.082081
1,244,7,-79.281487,36.089228
1,245,1,-79.299864,36.106894
1,246,2,-79.299864,36.106894
1,247,9,-79.38776,36.142741
1,248,8,-79.45621,36.067335
1,249,3,-79.278116,36.095554
1,250,2,-79.529798,36.093
1,251,6,-79.399691,36.037701
1,252,1,-79.318167,36.054054
1,253,8,-79.262872,36.073835
1,254,8,-79.438847,35.925351
1,255,7,-79.530449,36.075052
1,256,10,-79.48004,36.089218
1,257,3,-79.350427,36.02858
1,258,7,-79.438699,36.11048
1,259,1,-79.415855,36.098367
1,260,9,-79.438847,35.925351
1,261,9,-79.465885,36.093713
1,262,9,-79.495034,36.074449
1,263,4,-79.530449,36.075052
1,264,3,-79.262872,36.073835
1,265,8,-79.425678,36.073869
1,266,5,-79.491466,36.105492
1,267,2,-79.48004,36.089218
1,268,10,-79.503147,36.112203
1,269,2,-79.479874,36.054898
1,270,6,-79.438699,36.11048
1,271,10,-79.275234,36.148461
1,272,3,-79.275234,36.148461
1,273,1,-79.275234,36.148461
1,274,3,-79.41966,36.076557
1,275,9,-79.41712,36.027135
1,276,7,-79.277248,35.891208
1,277,9,-79.41712,36.027135
1,278,10,-79.50198,36.140256
1,279,5,-79.50198,36.140256
1,280,1,-79.320196,35.998843
1,281,10,-79.320196,35.998843
1,282,9,-79.457233,36.101274
1,283,7,-79.516311,36.097297
1,284,2,-79.458296,36.079208
1,285,10,-79.424394,36.125478
1,286,2,-79.406277,36.104906
1,287,7,-79.412065,36.081918
1,288,4,-79.490509,35.915749
1,289,6,-79.488461,35.915567
1,290,4,-79.46058,36.07086
1,291,7,-79.279296,36.077367
1,292,5,-79.279296,36.077367
1,293,6,-79.499004,36.105859
1,294,6,-79.441765,36.099162
1,295,4,-79.421148,36.141562
1,296,7,-79.516223,36.095464
1,297,4,-79.273173,36.088965
1,298,6,-79.469146,36.074122
1,299,5,-79.469324,36.095478
1,300,10,-79.30116,36.058558
1,301,6,-79.530778,36.115355
1,302,3,-79.4706,36.099447
1,303,10,-79.496753,36.090997
1,304,2,-79.268004,36.084423
1,305,2,-79.265578,36.109536
1,306,10,-79.510965,36.083267
1,307,9,-79.412065,36.081918
1,308,2,-79.384998,36.014173
1,309,2,-79.422948,36.07029
1,310,8,-79.406673,36.018258
1,311,5,-79.27458,36.213993
1,312,6,-79.417124,36.182033
1,313,9,-79.300612,36.059227
1,314,8,-79.494036,36.062958
1,315,9,-79.268211,36.076771
1,316,9,-79.43045,35.922735
1,317,9,-79.422214,36.104994
1,318,9,-79.30116,36.058558
1,319,2,-79.442809,36.090075
1,320,8,-79.278336,36.08333
1,321,9,-79.465885,36.093713
1,322,1,-79.4706,36.099447
1,323,5,-79.387852,36.177596
1,324,1,-79.403289,36.045389
1,325,8,-79.265578,36.109536
1,326,6,-79.429396,36.077399
1,327,7,-79.402081,36.049402
1,328,8,-79.439662,36.123429
1,329,8,-79.403289,36.045389
1,330,3,-79.375154,36.18184
1,331,9,-79.532728,36.103914
1,332,1,-79.383519,36.016023
1,333,5,-79.518221,36.069243
1,334,7,-79.434799,36.076372
1,335,1,-79.530588,36.090839
1,336,10,-79.467094,36.065597
1,337,8,-79.510965,36.083267
1,338,3,-79.473528,36.079926
1,339,2,-79.359462,35.986827
1,340,5,-79.420063,36.109139
1,341,1,-79.2769,36.085119
1,342,5,-79.417124,36.182033
1,343,2,-79.421148,36.141562
1,344,10,-79.419707,36.102617
1,345,3,-79.469146,36.074122
1,346,9,-79.351526,36.099741
1,347,5,-79.281279,36.10891
1,348,10,-79.510965,36.083267
1,349,1,-79.359294,36.040629
1,350,1,-79.42535,36.052882
1,351,3,-79.300612,36.059227
1,352,3,-79.38759,36.024249
1,353,6,-79.400571,36.037407
1,354,3,-79.496753,36.090997
1,355,7,-79.392565,36.077337
1,356,7,-79.422214,36.104994
1,357,5,-79.26345,36.090308
1,358,7,-79.491542,36.113363
1,359,2,-79.436864,36.158615
1,360,4,-79.427821,36.093336
1,361,10,-79.39486,36.096465
1,362,4,-79.347818,36.089478
1,363,7,-79.518221,36.069243
1,364,10,-79.375757,36.038094
1,365,8,-79.483579,36.101086
1,366,3,-79.527112,36.09314
1,367,2,-79.532728,36.103914
1,368,10,-79.527112,36.09314
1,369,10,-79.381369,36.067447
1,370,5,-79.402081,36.049402
1,371,3,-79.395716,36.044983
1,372,7,-79.408912,36.105971
1,373,9,-79.412875,36.049499
1,374,4,-79.434198,36.075734
1,375,5,-79.44728,36.119127
1,376,6,-79.42543,36.112846
1,377,9,-79.42543,36.112846
1,378,9,-79.2769,36.085119
1,379,3,-79.284227,36.059637
1,380,6,-79.429985,36.008281
1,381,3,-79.469324,36.095478
1,382,8,-79.375757,36.038094
1,383,5,-79.530588,36.090839
1,384,1,-79.427821,36.093336
1,385,2,-79.308377,36.097883
1,386,3,-79.427821,36.093336
1,387,8,-79.265578,36.109536
1,388,4,-79.423457,36.097048
1,389,8,-79.457103,36.110863
1,390,9,-79.399902,36.096294
1,391,10,-79.412065,36.081918
1,392,6,-79.413278,36.039356
1,393,6,-79.27458,36.213993
1,394,9,-79.290708,36.059998
1,395,6,-79.509661,36.163428
1,396,9,-79.465885,36.093713
1,397,5,-79.351526,36.099741
1,398,9,-79.43045,35.922735
1,399,7,-79.395549,36.036308
1,400,9,-79.491542,36.113363
1,401,7,-79.281279,36.10891
1,402,10,-79.476693,36.06846
1,403,3,-79.272282,36.090997
1,404,4,-79.391896,36.10309
1,405,2,-79.263914,36.09015
1,406,1,-79.299371,36.12284
1,407,8,-79.277443,36.075569
1,408,5,-79.35972,36.164777
1,409,7,-79.389448,36.091733
1,410,10,-79.411118,36.100468
1,411,3,-79.272193,36.091212
1,412,1,-79.263914,36.09015
1,413,7,-79.436309,36.106124
1,414,1,-79.358747,36.096343
1,415,5,-79.326453,36.116656
1,416,4,-79.272282,36.090997
1,417,3,-79.532572,36.109886
1,418,2,-79.272193,36.091212
1,419,7,-79.532051,36.095391
1,420,1,-79.414199,35.944945
1,421,3,-79.265531,36.015285
1,422,2,-79.304464,36.054366
1,423,2,-79.299371,36.12284
1,424,3,-79.515456,36.094524
1,425,3,-79.265111,36.089009
1,426,10,-79.414317,36.063945
1,427,3,-79.282362,35.99403
1,428,3,-79.532051,36.095391
1,429,2,-79.515456,36.094524
1,430,10,-79.399878,35.984358
1,431,4,-79.282362,35.99403
1,432,5,-79.310186,36.074977
1,433,9,-79.399878,35.984358
1,434,10,-79.272193,36.091212
1,435,6,-79.282362,35.99403
1,436,9,-79.424768,36.149591
1,437,7,-79.455736,36.110097
1,438,1,-79.496133,36.021078
1,439,8,-79.411118,36.100468
1,440,1,-79.294934,36.107089
