Distance,Number of Records,Recipient RECORD NUMBER,Vendor_RECORD_NUMBER,Vendor USED RECORD NUMBER,X (Recipient.csv),X,Y (Recipient.csv),Y
9.547736364,1,13,10,10,-79.267657,-79.437501,36.081448,36.097426
1.374235138,1,14,4,4,-79.518872,-79.495735,36.091285,36.084506
8.488843440,1,15,3,3,-79.433974,-79.282459,36.018797,36.02753
13.921190324,1,16,3,3,-79.518872,-79.282459,36.091285,36.02753
14.194316811,1,17,2,2,-79.43733,-79.322221,36.125949,35.942825
2.406361749,1,18,1,1,-79.478685,-79.463841,36.064432,36.097126
12.408442370,1,19,2,2,-79.492292,-79.322221,36.058227,35.942825
9.216871683,1,20,5,5,-79.354403,-79.509386,36.122831,36.076881
3.292187488,1,21,1,1,-79.416839,-79.463841,36.068365,36.097126
2.338904688,1,22,1,1,-79.492401,-79.463841,36.072366,36.097126
10.872093785,1,23,8,8,-79.460481,-79.267657,36.103331,36.081448
7.435552884,1,24,4,4,-79.363154,-79.495735,36.074594,36.084506
5.833963611,1,25,1,1,-79.363154,-79.463841,36.074594,36.097126
5.886792000,1,26,7,7,-79.363154,-79.465885,36.074594,36.093713
12.155355187,1,27,9,9,-79.510758,-79.428373,36.085496,35.922694
4.998323812,1,28,8,8,-79.288223,-79.267657,36.011048,36.081448
11.873863382,1,29,6,6,-79.288223,-79.470681,36.011048,36.099201
4.673318328,1,30,7,7,-79.387394,-79.465885,36.070253,36.093713
14.308673093,1,31,2,2,-79.505006,-79.322221,36.087818,35.942825
2.071647153,1,32,6,6,-79.505006,-79.470681,36.087818,36.099201
6.080830107,1,33,6,6,-79.390485,-79.470681,36.039681,36.099201
7.670102355,1,34,7,7,-79.339484,-79.465885,36.137248,36.093713
4.673318328,1,35,7,7,-79.387394,-79.465885,36.070253,36.093713
10.438201145,1,36,8,8,-79.454051,-79.267657,36.092912,36.081448
1.654321384,1,37,6,6,-79.44134,-79.470681,36.095863,36.099201
0.831007618,1,38,5,5,-79.524217,-79.509386,36.077859,36.076881
13.946052633,1,39,3,3,-79.524217,-79.282459,36.077859,36.02753
17.686734522,1,40,2,2,-79.438955,-79.322221,36.180763,35.942825
11.767867174,1,41,8,8,-79.438955,-79.267657,36.180763,36.081448
12.222080674,1,42,9,9,-79.502882,-79.428373,36.088989,35.922694
0.912068311,1,43,5,5,-79.502882,-79.509386,36.088989,36.076881
6.299579825,1,44,5,5,-79.427529,-79.509386,36.139637,36.076881
6.233466209,1,45,6,6,-79.418927,-79.470681,36.019277,36.099201
11.958278890,1,46,2,2,-79.460232,-79.322221,36.075065,35.942825
3.808475528,1,47,10,10,-79.400893,-79.437501,36.050924,36.097426
1.239142642,1,48,6,6,-79.491466,-79.470681,36.105492,36.099201
3.063935649,1,49,10,10,-79.491466,-79.437501,36.105492,36.097426
1.643832190,1,50,7,7,-79.491466,-79.465885,36.105492,36.093713
9.009370557,1,51,2,2,-79.261491,-79.322221,36.063601,35.942825
11.912296122,1,52,5,5,-79.31246,-79.509386,36.010793,36.076881
0.859714055,1,53,7,7,-79.450504,-79.465885,36.09429,36.093713
6.742801998,1,54,10,10,-79.351234,-79.437501,36.029165,36.097426
9.430084586,1,55,5,5,-79.351234,-79.509386,36.029165,36.076881
7.882522385,1,56,8,8,-79.401562,-79.267657,36.117611,36.081448
8.631612223,1,57,8,8,-79.380709,-79.267657,36.166689,36.081448
2.586716517,1,58,5,5,-79.479684,-79.509386,36.10561,36.076881
0.669883041,1,59,6,6,-79.479684,-79.470681,36.10561,36.099201
